ocid,buyer_name,buyer_id,title,desc,supplier,value,currency,date,detected_provider
ocds-hu01ve-8235348,ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,,FORNITURA LICENZE MICROSOFT PER SERVER,VAR GROUP SPA,63747.42,EUR,2024-02-09 17:39:26.863T12:00:00Z,microsoft
ocds-hu01ve-8236170,AMMINISTRAZIONE COMUNALE DI MUGGIO',02965420157,,ADESIONE ALL'ACCORDO QUADRO CONSIP SPC (SISTEMA PUBBLICO DI CONNETTIVITÀ) CLOUD - LOTTO 1 SERVIZI DI CLOUD COMPUTING PER LA FORNITURA DI SERVIZI PER LA MIGRAZIONE AL CLOUD DEL DATA CENTER DEL COMUNE D,,0.0,EUR,2024-02-09 17:39:26.185T12:00:00Z,cloud_generic
ocds-hu01ve-8237832,MM S.P.A.,01742310152,,RINNOVO TRIENNALE LICENZE MICROSOFT TRAMITE ORDINE DIRETTO DI ACQUISTO (ODA) A VALERE SULLA CONVENZIONE CONSIP 'MICROSOFT ENTERPRISE AGREEMENT 6,TELECOM S.P.A.,2311000.0,EUR,2024-02-10 17:26:54.037T12:00:00Z,microsoft
ocds-hu01ve-8237855,AGENZIA ITALIANA DEL FARMACO,97345810580,,SERVIZI SUPPORTO E MANUTENZIONE LICENZE SOFTWARE ORACLE,ORACLE ITALIA - S.R.L.,95531.71,EUR,2024-02-09 17:40:00.722T12:00:00Z,oracle
ocds-hu01ve-8238025,TRENITALIA SPA,05403151003,,FST TPTNIPSM210104 - REALIZZAZIONE INFRASTRUTTURA SAP DATA INTELLIGENCE IN PRIVA ,FSTECHNOLOGY S.P.A.,45100.0,EUR,2024-02-10 17:26:30.877T12:00:00Z,sap
ocds-hu01ve-8238160,UNIVERSITA' DEGLI STUDI DI ROMA FORO ITALICO ,80229010584,,"ADESIONE ALLA CONVENZIONE CONSIP SPC CLOUD - LOTTO 1 PER SERVIZI DI CLOUD COMPUTING, SICUREZZA E SOLUZIONI PORTALI DI SERVIZI ON LINE E COOPERAZIONE APPLICATIVA",TELECOM ITALIA SPA,387739.7,EUR,2024-02-09 17:39:54.418T12:00:00Z,cloud_generic
ocds-hu01ve-8238634,ISTAT - ISTITUTO NAZIONALE DI STATISTICA,80111810588,,ACQUISIZIONE 'SERVIZI DI PREMIUM ENGAGEMENT' SAP PER 18 MESI TRAMITE CONVENZIONE CONSIP LICENZE SOFTWARE MULTIBRAND 3 - LOTTO 6,TECHNISBLU SRL|ITALWARE SRL,147005.61,EUR,2024-02-15 17:22:34.054T12:00:00Z,sap
ocds-hu01ve-8240630,AZIENDA SANITARIA LOCALE DI MATERA,01178540777,,ADESIONE CONVENZIONE CONSIP LICENZE MICROSOFT ENTERPRISE AGREEMENT,TELECOM ITALIA SPA,54000.0,EUR,2024-02-09 17:43:40.806T12:00:00Z,microsoft
ocds-hu01ve-8240871,ACI INFOMOBILITY S.P.A.,08420060017,,SERVIZIO DI SVILUPPO SW PER AMPLIAMENTO FUNZIONALITÀ ALEXA/GOOGLE,VOICE LAB SRL,73168.0,EUR,2024-02-01 17:22:28.053T12:00:00Z,google
ocds-hu01ve-8241377,ACI INFORMATICA SOCIETA' PER AZIONI IN BREVE ACI INFORMATICA S.P.A.,00405030586,,ICT078AP21-SERVIZI PROFESSIONALI PER IMPLEMENTAZIONE SISTEMA GESTIONALE SAP,EXPRIVIA S.PA.,747944.63,EUR,2024-04-22 16:30:10.369T12:00:00Z,sap
ocds-hu01ve-8242061,ACI GLOBAL S.P.A.,10698880159,,SERVIZIO DI HOSTING DI APPARATI IBM AS400 DEDICATI ALLE APPLICAZIONI SW ART. 63,KYNDRYL ITALIA S.P.A.,615284.54,EUR,2024-02-09 17:42:15.570T12:00:00Z,ibm
ocds-hu01ve-8248185,FERROVIE EMILIA ROMAGNA - SOCIETA A RESPONSABILITA LIMITATATA IN SIGLA F.E.R. - S.R.L.,02080471200,,"ADESIONE ALLA CONVENZIONE INTERCENT-ER 'SVILUPPO, EVOLUZIONE E GESTIONE DI SISTEMI INFORMATIVI A SUPPORTO DELLE P.A.' PER GLI SVILUPPI SAP MODULO PM E ALTRI MODULI",,0.0,EUR,2024-02-09 17:39:56.840T12:00:00Z,sap
ocds-hu01ve-8261785,AZIENDA GENERALE SERVIZI MUNICIPALI DI VERONA S.P.A. - IN FORMA ABBREVIATA AGSM VERONA S.P.A.,00215120239,,ATTIVITÀ ADEGUAMENTO INFRASTRUTTURA SAP,CON.SE S.R.L.,411610.0,EUR,2024-02-09 17:39:20.672T12:00:00Z,sap
ocds-hu01ve-8301162,UNIONE TRESINARO SECCHIA,02337870352,,AFFIDAMENTO DEL SERVIZIO DI AIUTO PERSONALE (SAP)- DURATA TRE ANNI,,0.0,EUR,2024-02-09 17:40:44.208T12:00:00Z,sap
ocds-hu01ve-8516480,PAGOPA S.P.A.,15376371009,,AFFIDAMENTO DEI SERVIZI CLOUD AMAZON WEB SERVICES (AWS),CONVERGE SPA,3324000.0,EUR,2024-05-27 16:30:12.636T12:00:00Z,aws
ocds-hu01ve-8547516,RETE FERROVIARIA ITALIANA - SOCIETA PER AZIONI,01585570581,,CA 01/OC/2021 AQ 255/19 FORNITURA E POSA IN OPERA DI SISTEMA DI MONITORAGGIO (SHM) STATICO E DINAMICO CON SISTEMA DI PESATURA DINAMICA (WIM) DI TIPO 'UNDER THE BRIDGE' PER IL CAVALCAVIA EX SS235 – S.A,M.PAVANI SRL|SITE SPA,191500.0,EUR,2024-10-21 15:38:12.327T12:00:00Z,oracle
ocds-hu01ve-8556654,RETE FERROVIARIA ITALIANA - SOCIETA PER AZIONI,01585570581,,DOIT.VE.ING.OC AQ 329/2019 - PROGETTAZIONE ESECUTIVA DELL’INTERVENTO DI RISTRUTTURAZIONE E RINFORZO DELLA PASSERELLA PEDONALE ACCOSTATA AL PONTE SUL FIUME ARDO A BELLUNO TRA LE PROGRESSIVE KM 85+713 E,S.A.G.I. S.R.L.|STUDIO TASSINARI E ASSOCIATI|ING. PAOLO PETRELLA S.R.L.,12655.45,EUR,2024-02-10 17:22:19.396T12:00:00Z,oracle
ocds-hu01ve-8563919,FONDAZIONE ENASARCO,00763810587,,ACQUISTO SERVIZIO BACKUP OFFICE365,,0.0,EUR,2024-02-09 17:45:48.388T12:00:00Z,microsoft
ocds-hu01ve-8574508,AZIENDA OSPEDALIERA SANT'ANNA E SAN SEBASTIANO DI CASERTA DI RILIEVO NAZIONALE E DI ALTA SPECIALIZZAZIONE,02201130610,,CONVENZIONE CONNSIP MB4 LOTTO 1 LINCENZE ORACLE,ITALWARE SRL,680908.58,EUR,2024-02-28 17:30:03.220T12:00:00Z,oracle
ocds-hu01ve-8577541,AZIENDA OSPEDALIERO UNIVERSITARIA A. MEYER,02175680483,,ENGINEERING - ASSISTENZA E MANUTENZIONE SW - DET. 227/2022 - 2022-2023,ENGINEERING INGEGNERIA INFORMATICA S.P.A.,80940.0,EUR,2024-04-22 16:30:08.676T12:00:00Z,engineering
ocds-hu01ve-8585445,AZIENDA SANITARIA LOCALE BT,90062670725,,AFFIDAMENTO AI SENSI DELL'ART. 51 CO. 1 LETT. A) PUNTO 2.1 DEL D.L. N. 77/2021 CONV. CON MODIFICAZIONI IN L.N. 108/2021 DEI SERVIZI DI GESTIONE E MANUTENZIONE PDL E PRESIDIO PER LE STRUTTURE DELLA ASL,,0.0,EUR,2024-02-09 17:45:43.861T12:00:00Z,fastweb
ocds-hu01ve-8588993,ROMA CAPITALE,02438750586,,"REFERENDUM ABROGATIVI 2022-AFFIDAMENTO,EX ART.57 COMMA 5, SERVIZI DI GESTIONE-MANTENANCE SISTEMI TELEMATICI E PRESIDI TECNICI SOC. FASTWEB SPA",FASTWEB S. P. A.,70626.62,EUR,2024-02-09 17:42:49.822T12:00:00Z,fastweb
ocds-hu01ve-8589668,ASL NAPOLI 2 NORD,96024110635,,SERVIZI DI CLOUD COMPUTING -SPC LOTTO 1-DICEMBRE 2022,TELECOM ITALIA S.P.A.,724921.83,EUR,2024-02-09 17:45:09.471T12:00:00Z,cloud_generic
ocds-hu01ve-8590031,AZIENDA REGIONALE DELLA SALUTE REGIONE SARDEGNA,03990570925,,ADESIONE ALLA CONVENZIONE CONSIP 'LICENZE SOFTWARE MULTIBRAND 4' - LOTTO 5 - FORNITORE TELECOM ITALIA SPA - PER LA FORNITURA IN ACQUISTO DI LICENZE INTEGRATIVE WM WARE DA DESTINARE ALLA AOU CA CON IMP,TELECOM ITALIA S.P.A.,184857.4,EUR,2024-02-09 17:43:01.509T12:00:00Z,tim
ocds-hu01ve-8591526,SARDEGNA IT S.R.L.,03074520929,,E-HEALTH-2020 - RINNOVO ANNUALE SUPPORTO TECNICO PER LE LICENZE ORACLE ACQUISITE NELL'AMBITO DELL'ULA SOTTOSCRITTA CON PROCEDURA CIG 790794744E - CUP E71B17000160009 ANNUALITÀ 2022-2023,ORACLE ITALIA S.R.L.,384245.15,EUR,2024-02-09 17:45:31.894T12:00:00Z,oracle
