Id Scheda;Nome;Tipologia;Nome Fornitore;Livello di qualificazione/adeguamento;Data di qualificazione;Scadenza qualificazione
SA-2095;Genesys Cloud;SaaS;Genesys Cloud Services B.V.;1;2025-06-26;2028-06-26
SA-6284;K-City 2.0;SaaS;K-city srl;1;2025-06-26;2028-06-26
SA-4206;Consolidati;SaaS;ESSE IN SRL;1;2025-07-08;2028-07-08
SA-3155;SEP - Programmazione e Controllo;SaaS;Parsec 3.26 S.r.l.;1;2025-06-30;2028-06-30
SA-1708;TS HR AiO (TeamSystem HR All in One);SaaS;TeamSystem SpA;1;2025-06-30;2028-06-30
SA-6013;Globalcom - PRV;SaaS;I.&S.T. S.r.l.;1;2025-06-26;2028-06-26
IA-5972;Multicloud Retelit;IaaS;Retelit Digital Services S.p.A.;1;2025-07-10;2028-07-10
SA-4625;INBEE;SaaS;INBEE SRL;1;2025-07-10;2028-07-10
SA-624;MediHome;SaaS;LORAN Srl;1;2025-07-11;2028-07-11
SA-276;DSpace;SaaS;4Science srl;1;2025-07-15;2028-07-15
SA-4989;BuoniSpesa SaaS;SaaS;LASCAUX S.R.L.;1;2025-07-15;2028-07-15
SA-5860;Suite OpenMove – Google;SaaS;Lucian S.r.l.;1;2025-07-15;2028-07-15
SA-537;School Web;SaaS;ITCLOUD SOFTWARE;1;2025-07-15;2028-07-15
SA-2526;Farmastat;SaaS;MARNO SRL;1;2025-07-15;2028-07-15
SA-1028;Regis.it;SaaS;MARNO SRL;1;2025-07-15;2028-07-15
SA-2670;Entrata Online Abaco;SaaS;ABACO S.p.A.;1;2025-06-23;2028-06-23
SA-6567;Event Server 4.0 su SIRINFO;SaaS;Kria srl;1;2025-07-21;2028-07-21
SA-6015;WAY4Web;SaaS;W.A.Y. Srl;1;2025-07-25;2028-07-25
SA-6402;Suite VIAE;SaaS;OASI software S.r.l.;1;2025-07-25;2028-07-25
SA-4028;Digi-SOL;SaaS;PROXIMA LAB SRL;1;2025-07-25;2028-07-25
SA-6882;Gestione dati dei sistemi di videosorveglianza della PA;SaaS;SIMPLYNET SRL;1;2025-08-19;2028-08-19
SA-1685;Blumatica SHEQ;SaaS;Blumatica srl;1;2025-08-19;2028-08-19
SA-4597;Blumatica GDPR/Whistleblowing;SaaS;Blumatica srl;1;2025-08-19;2028-08-19
SA-3171;Hippocrates LMS, piattaforma e-learning;SaaS;Different Web S.r.l.;1;2025-08-20;2028-08-20
SA-3934;C3;SaaS;Computer-Pro S.r.l.;1;2025-08-20;2028-08-20
SA-5565;EMV o TAP&GO;SaaS;Nordcom S.p.A.;1;2025-08-21;2028-08-21
SA-5572;CHATBOT su Azure;SaaS;Nordcom S.p.A.;1;2025-08-21;2028-08-21
SA-5567;App Bus;SaaS;Nordcom S.p.A.;1;2025-08-21;2028-08-21
SA-6711;Engrafo;SaaS;SPE.IT SRL;1;2025-08-28;2028-08-28
SA-6102;SaaS Matrix 42 - Service management;SaaS;BV TECH S.p.A.;2;2025-08-29;2028-08-29
